County,Population,Museums,Libraries,Museums and Libraries,Gun Retailers,Ratio
Scurry,17302,2,1,3,10,-3.333333333
Bee,32799,2,1,3,10,-3.333333333
Sterling,1219,1,1,2,0,10
Oldham,2102,1,1,2,0,10
Dickens,2291,1,1,2,0,10
Winkler,7606,0,2,2,1,2
Terrell,903,1,1,2,1,2
Parmer,9965,1,1,2,1,2
Mitchell,9402,1,1,2,1,2
La Salle,7369,1,1,2,1,2
Foard,1277,1,1,2,1,2
Briscoe,1537,1,1,2,1,2
Coke,3210,1,1,2,2,1
Castro,8030,1,1,2,2,1
Brooks,7237,1,1,2,2,1
San Saba,6012,1,1,2,3,-1.5
Knox,3767,1,1,2,3,-1.5
Irion,1612,1,1,2,3,-1.5
Fisher,3856,1,1,2,3,-1.5
Bailey,7114,1,1,2,3,-1.5
Kimble,4481,1,1,2,4,-2
Jackson,14591,1,1,2,4,-2
Delta,5238,2,0,2,4,-2
Deaf Smith,19177,1,1,2,4,-2
Cottle,1452,1,1,2,4,-2
Madison,13781,1,1,2,5,-2.5
Haskell,5875,1,1,2,5,-2.5
Hall,3239,1,1,2,5,-2.5
Armstrong,1949,1,1,2,5,-2.5
Baylor,3614,1,1,2,6,-3
Ochiltree,10806,1,1,2,10,-5
Val Verde,48623,1,1,2,11,-5.5
Starr,61963,1,1,2,12,-6
Zavala,12156,0,1,1,0,10
Throckmorton,1600,0,1,1,0,10
Schleicher,3206,0,1,1,0,10
Kent,807,0,1,1,0,10
Glasscock,1251,1,0,1,0,10
McMullen,764,1,0,1,1,1
King,285,0,1,1,1,1
Concho,4043,0,1,1,1,1
Borden,637,1,0,1,1,1
Reagan,3601,0,1,1,2,-2
Martin,5312,0,1,1,2,-2
Jim Hogg,5245,0,1,1,2,-2
Dimmit,10897,0,1,1,2,-2
Crane,4773,0,1,1,2,-2
Archer,8681,0,1,1,2,-2
Andrews,16799,0,1,1,3,-3
Roberts,831,0,0,0,0,1
Kenedy,412,0,0,0,0,1
Hartley,6100,0,0,0,0,1
Loving,95,0,0,0,1,-10
