"Name","Address","Zip","Amount"
"THIRSTY TURTLE                ","1626 NE LOOP 410              ",78209,534578
"RED SQUARE BAR                ","11851 BANDERA RD STE 119      ",78023,885141
"410 BAR                       ","2818 NE LOOP 410              ",78218,235966
"THE WHITE RABBIT / PIZZERIA   ","2410 N SAINT MARYS ST         ",78212,85665
"THE DOMINION COUNTRY CLUB     ","1 DOMINION DR                 ",78257,472134
"COCO BEACH                    ","12159 VALLIANT ST             ",78216,543253
"ROOKIES BAR                   ","6402 CALLAGHAN RD             ",78229,491906
"CASA REAL MEXICAN RESTAURANT  ","6868 INGRAM RD                ",78238,12663
"CABANA BEVERAGES INC          ","5115 RIGSBY AVE               ",78222,86644
EL 7 MARES SEA FOOD RESTAURANT,"3831 W COMMERCE ST            ",78207,39700
"TACO CABANA                   ","20720 HWY 281 N               ",78258,49764
"PIZZA BAR, LLC                ","2720 MCCULLOUGH AVE           ",78212,235088
"KNIFE & FORK                  ","20626 STONE OAK PKWY STE 103  ",78258,388236
"GREENHOUSE ROOFTOP GARDEN     ","4553 N LOOP 1604 W            ",78249,521055
"ZUNI GRILL                    ","511 RIVERWALK                 ",78205,439046
"RUBY TUESDAY                  ","9818 W INTERSTATE 10          ",78230,119073
"ROCOTOS GRILL                 ","10555 CULEBRA RD STE 101      ",78251,17759
"TOSCANA RISTORANTE            ","301 E HOUSTON ST              ",78205,65869
"THE HANGAR TAVERN             ","14532 BROOK HOLLOW BLVD       ",78232,753814
"FPSA SIDEBAR BISTRO           ","524 S SAINT MARYS ST          ",78205,46361
"COOTER BROWNS                 ","11881 BANDERA RD STE 101      ",78023,2143249
"RUBY TUESDAY #5910            ","5607 NW LOOP 1604 N           ",78253,114502
"DOUBLETREE SAN ANTONIO        ","37 NE LOOP 410                ",78216,277959
"OAK HILLS TAVERN              ","7920A FREDERICKSBURG RD FRNT  ",78229,281847
"THE FALLS                     ","226 W BITTERS RD STE 120      ",78216,1389709
"THE BEND SPORTS BAR           ","7730 BANDERA RD               ",78238,878361
"BOMBAY BICYCLE CLUB           ","3506 N SAINT MARYS ST         ",78212,815378
"BJ'S RESTAURANT & BREWHOUSE   ","17503 IH 10 W                 ",78257,1484489
"EL MIRADOR RESTAURANT LTD     ","722 S SAINT MARYS             ",78205,163844
"CHA-CHA'S MEXICAN CUISINE     ","2026 BABCOCK RD               ",78229,25327
MARRIOTT SAN ANTONIO NORTHWEST,"3233 NW LOOP 410              ",78213,98292
"CHILI'S GRILL & BAR           ","131 LOOP 410 SW               ",78245,564069
"TOKYO STEAK HOUSE             ","9405 SAN PEDRO AVE            ",78216,66049
"MAMA'S CAFE                   ","2442 NACOGDOCHES RD           ",78217,308915
"SONTERRA BEVERAGE             ","18323 SONTERRA PL             ",78258,9789
"MIDTOWN CLUB                  ","2014 E HOUSTON ST             ",78202,240486
"CHEDDAR'S CASUAL CAFE         ","15607 W INTERSTATE 10         ",78249,523407
"O'SHI SUSHI                   ","18326 TUSCANY STONE           ",78258,1037363
"TEXAS T PUB                   ","121 N BROADWAY                ",78205,327423
"CANYON CAFE                   ","255 E BASSE RD STE 600        ",78209,377029
"BROADWAY 5050 WURZBACH        ","9837 W INTERSTATE 10          ",78230,1144351
"CHILIS # 1088 CULEBRA         ","5790 W LOOP 1604 N            ",78251,469288
"SALUD                         ","8123 BROADWAY ST STE D        ",78209,352944
"GARDEN BISTRO BAR             ","18360 BLANCO RD STE 100       ",78258,477931
"LISAS MEXICAN RESTAURANT      ","815 BANDERA RD                ",78228,255346
"CLUB CARIBE                   ","10319 PERRIN BEITEL RD        ",78217,39898
"SHADY LADY SALOON             ","3603 S WW WHITE RD            ",78222,245774
"DEOL BAR AND GRILL            ","6851 N LOOP 1604 W STE 101    ",78249,391761
"TACO CABANA                   ","920 SE MILITARY DRIVE         ",78214,66207
"THE COUNTY LINE I-10          ","10101 IH 10 W                 ",78230,320578
OLIVE GARDEN ITALIAN RESTAURAN,"15814 IH 10 W                 ",78257,422150
HOST/TRUE FLAVORS SAT TERMINAL,"9800 AIRPORT BLVD             ",78216,166861
"PIATTI                        ","255 E BASSE RD STE 500        ",78209,741175
"BROADWAY BAR INC              ","8800 BROADWAY ST STE 111      ",78217,135769
"MORTON'S OF CHICAGO           ","849 E COMMERCE ST STE 283     ",78205,923335
"FISH CITY GRILL               ","18130 SAN PEDRO AVE STE 104   ",78232,203375
"SUMO-KOI SUSHI BAR            ","8342 IH 10 W                  ",78230,132334
"GRITO AJUUA INC               ","11703 HUEBNER RD STE 208      ",78230,487686
"THOUSAND OAKS CAFE            ","12930 JONES MALTSBERGER RD S  ",78247,47718
"LAUGH OUT LOUD COMEDY CLUB AT ","618 NW LOOP 410 STE 312       ",78216,461863
"BRANNON'S CAFE/FRANCESCA'S AT ","16641 LA CANTERA PKWY         ",78256,3654722
"CABANA BEVERAGES, INC.        ","4723 W COMMERCE STREET        ",78237,120679
"RUBY RED COCKTAILS            ","6715 W US HIGHWAY 90          ",78227,5378
