"Name","Address","Zip","Amount"
"IVY ROOFTOP                   ","4553 N LOOP 1604 W            ",78249,521055
"CARINO'S ITALIAN GRILL        ","231 LOOP 410 SW               ",78238,163972
"PEPPER                        ","18322 SONTERRA PL STE 103     ",78258,374271
"RED LOBSTER RESTAURANT #386   ","1335 W W LOOP 410             ",78227,183256
"APPLEJAM BEVERAGE INC         ","11605 W FM 1604 NORTH         ",78250,517099
"CABANA BEVERAGES, INC.        ","1255 LOOP 410 NORTHEAST       ",78209,71784
"ZIO'S ITALIAN KITCHEN         ","2707 SE MILITARY DR           ",78223,132699
"BUFFALO WILD WINGS            ","5860 DE ZAVALA RD             ",78249,677682
"THE STOCKYARDS SALOON         ","10619 WESTOVER HILLS BLVD     ",78251,242610
"CRAZY D'S SALOON              ","12234 NACOGDOCHES RD          ",78217,481256
"NEW YORK BAR                  ","2838 N LOOP 1604 E STE 105    ",78232,543963
"EL JARRO DE ARTURO            ","13421 SAN PEDRO AVE           ",78216,1246326
"HOOTERS OF SAN PEDRO          ","13131 SAN PEDRO AVE           ",78216,1023820
"WYNDHAM SAN ANTONIO RIVERWALK ","111 E PECAN ST                ",78205,243328
HYATT PLACE SAN ANTONIO - NORT,"1610 E SONTERRA BLVD          ",78258,40307
HILTON SAN ANTONIO HILL COUNTR,"9800 WESTOVER HILLS BLVD      ",78251,482369
"ME AND CA                     ","8373 PERRIN BEITEL RD         ",78218,337737
"FITZGERALD'S BAR & LIVE MUSIC ","437 MCCARTY RD                ",78216,270637
"LEFTY'S DRAFT HOUSE           ","15179 JUDSON RD STE 101       ",78247,1131775
"EL TACO TOTE                  ","9502 W INTERSTATE 10          ",78230,204575
"COURTYEARD BY MARRIOTT        ","6738 NW LOOP 410              ",78238,19109
"OUNCE STEAKHOUSE              ","1401 N LOOP 1604 W STE 105    ",78258,240799
ROARING FORK HEUBNER SAN ANTON,"1806 N LOOP 1604 E            ",78232,1056517
"CLICKS BILLIARDS              ","903 E BITTERS RD STE 307      ",78216,526426
"BOUDREAUX                     ","421 E COMMERCE ST STE 101     ",78205,2503839
"BLACK-EYED PEA                ","7959 FREDERICKSBURG RD STE 1  ",78229,48240
"STONE WERKS BIG ROCK GRILLE   ","999 E BASSE RD                ",78209,2092614
"LA FONDA SUNSET RIDGE         ","6402 N NEW BRAUNFELS AVE      ",78209,252135
"CLOWN ALLEY INC.              ","5518 W MILITARY DR # 20       ",78242,280798
"CHRIS MADRID'S INC            ","1900 BLANCO RD                ",78212,393361
"CABANA BEVERAGES              ","5738 W LOOP 1604 N            ",78251,71413
"NORTHERN HILLS COUNTRY CLUB   ","13202 SCARSDALE ST            ",78217,170839
"KEY WEST COVE                 ","602 NW LOOP 410 STE 145       ",78216,216822
"PTX V BEVERAGE SERVICES, LLC  ","611 NW LOOP 410               ",78216,403985
"TEXAS BOILER ROOM             ","8800 BROADWAY ST STE 102      ",78217,261005
"JAVA ON THE HILL              ","847 E HILDEBRAND AVE          ",78212,15576
"RED ROBIN GOURMET BURGERS     ","5631 W LOOP 1604 N            ",78253,148075
"CHILI'S GRILL & BAR           ","2310 SW MILITARY DR STE 101   ",78224,466935
"CARINO'S ITALIAN GRILL        ","3147 SE MILITARY DR           ",78223,147576
"FIESTA TEXAS HOSPITALITY, L L ","17000 W IH 10                 ",78257,763482
"ALDO'S RISTURANTE ITALIANO    ","8539 FREDERICKSBURG RD        ",78229,444117
"PAPA NACHO'S CANTINA          ","24145 IH 10 W                 ",78257,234241
"BJ'S RESTAURANT & BREWHOUSE   ","5447 W LOOP 1604 N            ",78253,1293145
"CAFE ALTERNATIVE & FASHIONS   ","2211 SAN PEDRO AVE            ",78212,31968
"BOOTLEGGERS                   ","2407 N SAINT MARYS ST         ",78212,65099
"FLYING TIGER SPORTS BAR       ","2619 SE MILITARY DR STE 111   ",78223,1287869
"HI-TONE                       ","621 E DEWEY PL                ",78212,295065
"LONGHORN STEAKHOUSE #5388     ","22503 US HIGHWAY 281 N        ",78258,198455
"BRIGHT SHAWL TEA ROOM         ","819 AUGUSTA ST                ",78215,53563
"TIAGO'S CABO GRILLE           ","17711 W IH 10                 ",78257,293587
CROWN PLAZA SAN ANTONIO RIVERW,"111 E PECAN ST                ",78205,243328
"WILDFISH SEAFOOD GRILLE #8505 ","1834 N LOOP 1604 W            ",78248,1777275
"CABANA BEVERAGES, INC.        ","1633 SW MILITARY DRIVE        ",78221,79578
"PIATTI                        ","255 E BASSE RD STE 500        ",78209,270270
"OAK HILLS COUNTRY CLUB        ","5403 FREDERICKSBURG RD        ",78229,465204
"THE LONG BAR, INC.            ","18402 US HIGHWAY 281 N STE 1  ",78259,934782
"WEST AVENUE PANCHITOS         ","12403 WEST AVE                ",78216,79835
"ICE LOUNGE & SPORTS BAR       ","5545 NW LOOP 410 STE 116      ",78238,401443
"AZUCA                         ","713 S ALAMO                   ",78205,516553
"SENOR TEQUILA MEXICAN GRILL & ","110 PRODUCE ROW STE 3AND4     ",78207,118700
"CABANA BEVERAGES, INC.        ","12731 IH 10 W                 ",78230,79746
"OASIS                         ","502 EMBASSY OAKS STE 142      ",78216,413216
ONE TOWERS PARK LANE COOPERATI,"ONE TOWERS PARK LANE          ",78209,50442
"ARCADE MIDTOWN KITCHEN        ","303 PEARL PKWY STE 111        ",78215,743371
"HABANERO'S GRILL              ","13444 WEST AVE STE 200        ",78216,23935
"YARD HOUSE                    ","15900 LA CANTERA PKWY BLDG 2  ",78256,2578163
"GROTTO BAR                    ","19160 STONE OAK PKWY STE 104  ",78258,778752
"PAPA NACHOS                   ","203 N LOOP 1604 W STE 180     ",78232,120682
"MAMBO MARTINI ULTRA LOUNGE    ","19314 US HIGHWAY 281 N STE 1  ",78258,155107
"OUTBACK STEAKHOUSE            ","16080 SAN PEDRO AVE           ",78232,262589
"TBA                           ","2801 N SAINT MARYS ST         ",78212,120227
"SENOR CANCUN                  ","2502 BLANCO RD                ",78212,27138
"NEXUS MARTINI BAR AND GRILL   ","4553 N LOOP 1604 W STE 1101   ",78249,701815
"PAPPADEAUX SEAFOOD KITCHEN    ","76 LOOP 410 NORTHEAST         ",78230,2809982
REGENCY RIVERWALK BEVERAGE LLC,"123 LOSOYA ST                 ",78205,1639049
FLEMING'S PRIME STEAKHOUSE & W,"255 E BASSE RD STE 200        ",78209,1457198
"THE ELECTRIC COMPANY          ","820 SAN PEDRO AVE             ",78212,291891
"COVER 3 SAN ANTONIO, LLC      ","1806 N LOOP 1604 W            ",78248,1056517
RITA'S ON THE RIVER PIZZARITA',"245 E COMMERCE ST STE 100     ",78205,2187995
"CORNER POCKET GRILL           ","2363 AUSTIN HWY               ",78218,101821
"NAIROBI BAR & GRILL           ","514 N HACKBERRY               ",78202,188105
"KONA GRILL                    ","15900 LA CANTERA PKWY BLDG 7  ",78256,1798994
"POMPEII ITALIAN GRILL         ","16109 NACOGDOCHES RD          ",78247,148772
"ZINC                          ","209 N PRESA ST                ",78205,866592
"LUNA                          ","6740 SAN PEDRO                ",78216,225456
"JERRY DEAN'S                  ","12536 NACOGDOCHES RD          ",78217,286786
"RUTH'S CHRIS STEAK HOUSE      ","7720 JONES MALTSBERGER RD ST  ",78216,1200547
"FIREHOUSE PUB & GRILL         ","5380 WALZEM RD                ",78218,638216
"JOE'S CRAB SHACK              ","255 E BASSE RD STE 1400       ",78209,461493
"CLUB MOVIDA                   ","306 E MITCHELL ST             ",78210,24790
"LA HACIENDA DE LOS BARRIOS    ","18747 REDLAND RD              ",78259,1260765
"CABANA BEVERAGES              ","602 W LOOP 1604 N             ",78251,113053
"FAUST TAVERN                  ","517 E WOODLAWN AVE            ",78212,68990
"BONHAM EXCHANGE               ","411 BONHAM                    ",78205,1362476
"THE TAP EXCHANGE              ","22250 BULVERDE RD STE 106     ",78261,526273
CROWNE PLAZA SAN ANTONIO AIRPO,"1111 NE LOOP 410              ",78209,126801
"MENCIUS GOURMET HUNAN CHINESE ","7959 FREDERICKSBURG RD STE 1  ",78229,11842
"HABANERO GRILL #2             ","17711 I 10 W                  ",78257,3141
BRUSCHETTA RISTORANTE GRAND AG,"18326 TUSCANY STONE           ",78260,1037363
"CHILI'S GRILL & BAR           ","3230 SE MILITARY DRIVE        ",78235,631778
"BASEMENT BAR & LOUNGE         ","244 LOSOYA B                  ",78205,804829
"KRAMERS THE 5TH GENERATION    ","9323 PERRIN BEITEL RD         ",78217,111415
"STONE WERKS BIG ROCK GRILLE   ","5807 WORTH PKWY               ",78257,2216614
"BCL ABC, LLC                  ","300 E TRAVIS ST               ",78205,394954
HARLANDALE MEMORIAL VFW POST 4,"3111 COMMERCIAL AVE           ",78221,36498
"MI TIERRA CAFE & BAKERY       ","218 PRODUCE ROW               ",78207,3378239
"1919                          ","1420 S ALAMO ST STE 1         ",78210,1171280
CHAMA GAUCHA BRAZILIAN STEAKHO,"18318 SONTERRA PL             ",78258,1286053
"SARITA'S RESTAURANT           ","2235 LOCKHILL SELMA RD        ",78230,65612
"LOGAN'S ROADHOUSE             ","21119 US HIGHWAY 281 N        ",78258,122804
"WHAT'S IT TO YA? LOUNGE       ","5725 EVERS RD                 ",78238,251096
"THE COUNTY LINE RIVERWALK     ","111 W CROCKETT ST STE 104     ",78205,1827316
"LAS PALAPAS                   ","5403 NW LOOP 410              ",78229,36447
"CHIPOTLE MEXICAN GRILL        ","438 NW LOOP 410 STE 101       ",78216,17722
HOST /TRUE FLAVORS SAT TERMINA,"9800 AIRPORT BLVD             ",78216,192223
"VEGAS BAR                     ","8826 HUEBNER RD               ",78240,400176
"PICANTE GRILL                 ","3810 BROADWAY ST              ",78209,77215
"PHM BEVERAGE, INC.            ","10135 STATE HIGHWAY 151       ",78251,324629
"CROSS-EYED SEAGULL            ","19141 STONE OAK PKWY # 206    ",78258,607467
"RED LOBSTER #6363             ","7835 INTERSTATE 35 S          ",78224,185712
"ROMANO'S MACARONI GRILL       ","1011 N LOOP 1604 E            ",78232,166459
"APPLEJAM BEVERAGE INC.        ","15802 W INTERSTATE 10         ",78249,125156
"MALIBU BURGER SHACK           ","5720 BANDERA RD               ",78238,373520
"BIGA ON THE BANKS             ","203 S SAINT MARYS STE 100     ",78205,1442327
"DON STRANGE OF TEXAS INC      ","1551 BANDERA RD               ",78228,8683
HTS-WILD OAK RANCH BEVERAGE LL,"9700 WEST MILITARY DR         ",78251,280138
"TACO CABANA                   ","2347 E SOUTHCROSS             ",78223,197470
"HIDDEN TAVERN                 ","11407 WEST AVE                ",78213,420944
"BUSHWOOD CC                   ","13800 JONES MALTSBERGER RD    ",78247,449123
"WILD WEST                     ","21025 US HIGHWAY 281 N # 101  ",78258,2158504
"COURTYARD DOWNTOWN MARKET SQU ","600 S SANTA ROSA              ",78204,60414
SHENANIGAN'S SPORTS BAR AND LO,"6422 BABCOCK RD # 101         ",78249,1084723
"ENDLESS MUSIC                 ","19314 US HIGHWAY 281 N STE 1  ",78258,151238
FOGO DE CHAO CHURRASCARIA (SAN,"849 E COMMERCE ST STE 395     ",78205,1082239
"RAINFOREST CAFE               ","110 E CROCKETT ST             ",78205,804498
"SALTGRASS STEAKHOUSE          ","2885 CINEMA RDG               ",78238,483205
"MELA INDIAN BAR & GRILL       ","4987 NW LOOP 410              ",78229,11124
"REBAR                         ","8134 BROADWAY ST              ",78209,806797
"GUADALAJARA GRILL             ","301 S ALAMO ST BLDG 16        ",78205,256943
GRAHM CENTRAL STATION/SOUTH BE,"4902 FREDERICKSBURG RD        ",78229,2303804
"HALO                          ","18730 STONE OAK PKWY STE 100  ",78258,206079
"TACO HAVEN                    ","1032 S PRESA ST               ",78210,201041
"CABANA BEVERAGES INC          ","1130 N FM1604 WEST #105       ",78248,30753
"LA QUINTA INN & SUITES_#501   ","303 BLUM                      ",78202,153638
FAST EDDIE'S NEIGHBORHOOD BILL,"11221 PERRIN BEITEL RD        ",78217,526182
DRURY PLAZA HOTEL- SAN ANTONIO,"823 N LOOP 1604 E             ",78232,21429
"AREA THIRTY-ONE               ","4553 N LOOP 1604 W # 1229     ",78249,384408
LEE'S EL TACO GARAGE TEX-MEX C,"8403 BROADWAY ST              ",78209,304520
"TICKET SPORTS PUB             ","420 E HOUSTON ST              ",78205,842675
"CABANA BEVERAGES, INC.        ","180 BITTERS RD                ",78216,24640
"THE CHEESECAKE FACTORY        ","7400 SAN PEDRO AVE STE 120    ",78216,1047987
"BRASS MONKEY                  ","2702 N SAINT MARYS ST         ",78212,688678
"BIKINI SPORTS BAR & GRILL     ","8224 FREDERICKSBURG RD        ",78229,513411
"IVORY LOUNGE                  ","5152 FREDERICKSBURG RD STE 1  ",78229,338400
"JACALA MEXICAN RESTAURANT     ","606 WEST AVE                  ",78201,299195
"RED BARON LOUNGE              ","914 BURR RD                   ",78209,39494
CONTINENTAL CAFE' & EVENT CENT,"6390 FAIRDALE DRIVE           ",78218,43466
"TWIN PEAKS RESTAURANT         ","12790 W INTERSTATE 10         ",78230,2711567
"THE HANGAR                    ","8203 BROADWAY ST              ",78209,1303224
HACIENDA DE VILLA GRILL CANTIN,"12333 WEST AVE                ",78216,10700
"RIVERTON BEVERAGES, LLC       ","306 W MARKET ST               ",78205,1080991
"HABANEROS GRILL               ","17711 W IH 10 # 107           ",78257,23428
"HOOZ COCKTAILS                ","1711 BABCOCK RD               ",78229,173276
"THE ANGRY ELEPHANT            ","19314 US HIGHWAY 281 N STE 1  ",78258,813344
"COBALT CLUB                   ","2022 MCCULLOUGH AVE           ",78212,283245
"LA FOCACCIA ITALIAN GRILL     ","800 S ALAMO                   ",78205,100525
"TITO'S MEXICAN RESTAURANT     ","955 S ALAMO ST                ",78205,224142
NORTHWEST BEVERAGE CORPORATOIO,"611 NW LOOP 410               ",78216,135083
"GOLDEN WOK                    ","1410 SW LOOP 410              ",78227,114445
"BJ'S RESTAURANT & BREWHOUSE   ","22406 US HIGHWAY 281 N STE 1  ",78258,1142659
"WAXY O'CONNORS IRISH PUB LLC  ","234 RIVERWALK                 ",78205,1613301
"NELLIE'S TAVERN # 13          ","4102 RITTIMAN RD              ",78218,106926
"REVOLUTION ROOM               ","8123 BROADWAY ST STE A        ",78209,709778
"SALTGRASS STEAKHOUSE #8       ","11745 W INTERSTATE 10         ",78230,628194
"SNOOPS                        ","10726 PERRIN BEITEL RD        ",78217,55587
"THE S A COUNTRY               ","10127 COACHLIGHT ST           ",78216,533967
"BRADLEY'S-N-BILLIARDS         ","7743 MONTEGO DR               ",78250,264877
"TUCKER'S KOZY KORNER LLC      ","1338 E HOUSTON ST             ",78205,467711
"XXX BAR                       ","5042 SHERRI ANN RD            ",78233,61738
"CHR SG BEV CO, LLC            ","205 E HOUSTON ST              ",78205,145887
"GOLDEN SPUR                   ","21806 US HIGHWAY 281 S        ",78264,5847
"CHOPSTICKS                    ","4903 NW LOOP 410              ",78229,49659
"RIALTO CINEMA BISTRO          ","2938 NE LOOP 410              ",78218,357247
"SINATRA'S                     ","1846 N LOOP 1604 W            ",78248,33739
"APPLEJAM BEVERAGE INC         ","97 NE LOOP 410                ",78216,694082
"ROXY SPORTS BAR-CAFE          ","3249 WURZBACH RD              ",78238,664147
"LA MARGINAL                   ","2447 NACOGDOCHES RD           ",78217,57061
"MIMI'S CAFE                   ","17315 W IH 10                 ",78257,109678
"BRIGGS RANCH GOLF CLUB L L C  ","2818 RUSTLERS TRL             ",78245,78052
"PMM, LLC                      ","434 N LOOP 1604 W             ",78232,1025272
WLS BEVERAGE COMPANY/COURTYARD,"80 NE LOOP 410                ",78216,41582
"UBAR NONE, LLC                ","502 EMBASSY OAKS              ",78216,514512
"COUNTRY INN AND SUITES        ","8505 BROADWAY ST              ",78217,38724
"TIMBERHILL TAVERN             ","5251 TIMBERHILL STE 201       ",78238,162365
"JACKS                         ","2950 THOUSAND OAKS DR STE 5   ",78247,408150
"LONGHORN STEAKHOUSE #5367     ","7833 INTERSTATE 35 S          ",78224,285167
ANNE MARIE'S AT DEVONSHIRE PLA,"12475 STARCREST DR STE 102    ",78216,66936
"MISO LOUNGE                   ","4435 RITTIMAN RD              ",78218,17514
"BUFFALO WILD WINGS            ","18410 US HIGHWAY 281 N        ",78258,645679
"SPARKS                        ","8011 WEBBLES DR               ",78218,81153
"LOS GENERALES                 ","16216 NACOGDOCHES RD          ",78247,31020
"TACO CABANA                   ","12030 PERRIN BEITEL           ",78217,40604
"SALSALITO MEXICAN CANTINA     ","11703 BANDERA RD              ",78250,162376
"MUSTANG SALLY'S INCORPORATED  ","3428 ROOSEVELT AVE            ",78214,413224
GRAND AGAVE MEXICAN CUISINE CL,"18326 TUSCANY STONE           ",78260,1037363
"DRINK COFFEE & WINE BAR       ","200 NAVARRO ST STE 100        ",78205,442422
"OUR GLASS                     ","4422 WALZEM RD                ",78218,278259
"SC BEVERAGE COMPANY           ","212 W CROCKETT ST             ",78205,1130248
"TOSCANA RISTORNTE             ","301 E HOUSTON ST              ",78205,69519
"NCH SAN ANTONIO BEVERAGE, LLC ","12828 SAN PEDRO AVE           ",78216,41812
"HURRICANE GRILL & WINGS       ","2611 SE MILITARY DR STE 108   ",78223,397708
"EL MARACHI CAFE Y BAKERY      ","2511 SE MILITARY DR           ",78223,81666
"JACALITO'S PUB                ","146 1/2 N WW WHITE RD         ",78219,109447
ASIANA KARAOKE CLUB INCORPORAT,"4408 WALZEM RD                ",78218,38217
"EL PATIO BAR & GRILL          ","7905 BANDERA RD STE 3         ",78250,9062
"OUTBACK STEAKHOUSE            ","5552 NW LOOP 410              ",78238,279157
"STACY'S SPORTSBAR             ","3805 BLANCO RD                ",78212,660786
"TEXAS ROADHOUSE               ","2751 SW MILITARY DR           ",78224,562111
"ROADRUNNER CANTINA            ","14541 ROADRUNNER WAY          ",78249,280929
"J & O CANTINA                 ","1014 S PRESA ST               ",78210,73449
"SUGARS                        ","2731 NW LOOP 410              ",78230,3180690
" FIREBIRD MEXICAN GRILL       ","7300 JONES MALTSBERGER RD     ",78209,257094
"ARJON'S                       ","8736 TESORO DR                ",78217,759588
"BUFFALO WINGS AND RINGS       ","203 N LOOP 1604 W STE 100     ",78232,344550
"DON PEDRO MEXICAN RESTAURANT  ","1526 SW MILITARY DR           ",78221,856222
"QUARRY HOFBRAU & BEER GARDEN  ","7310 JONES MALTSBERGER RD     ",78209,2142998
"BUFFALO WILD WINGS            ","7823 INTERSTATE 35 S          ",78224,748489
"LONGHORN STEAKHOUSE #5360     ","5803 N LOOP 1604 W            ",78249,271523
"THREE LEGGED MONKEY           ","2313 NW MILITARY HWY          ",78231,370290
"BOX 903                       ","903 E BITTERS RD STE 313      ",78216,496895
CHIPOTLE;CHIPOTLE MEXICAN GRIL,"3928 BROADWAY                 ",78209,18768
"TACO CABANA                   ","3310 SAN PEDRO                ",78212,45645
"THE INDUSTRY                  ","8021 PINEBROOK DR             ",78230,950634
MAMACITA'S RESTAURANT AND CANT,"8030 IH 10 W                  ",78230,534173
"COWABUNGA                     ","402 E TRAVIS ST STE 1         ",78205,222027
"SOLUNA                        ","7959 BROADWAY ST STE 204      ",78209,1150516
"LEON SPRINGS LAS PALAPAS      ","23725 IH 10 W                 ",78257,130866
HOLIDAY INN SAN ANTONIO DOWNTO,"318 W DURANGO BLVD            ",78204,131739
"SUSHI ZUSHI                   ","9871 W IH 10                  ",78230,342452
"SANTIKOS PALLADIUM            ","17703 IH-10 WEST              ",78257,1459936
"P F CHANG'S CHINA BISTRO      ","255 E BASSE RD STE 1200       ",78209,656222
"AMERICAN LEGION ALAMO POST #2 ","3518 FREDERICKSBURG RD        ",78201,32625
"ROSARIO'S CAFE & CANTINA      ","910 S ALAMO                   ",78205,1804867
"T.G.I. FRIDAY'S               ","18039 W INTERSTATE 10         ",78257,419026
"MARQUEE                       ","19178 BLANCO RD               ",78258,302562
"TGI FRIDAYS                   ","29 NE LOOP 410                ",78216,422799
"RIVER CITY SEAFOOD & GRILL    ","115 N LOOP 1604 E STE 1108    ",78232,163083
"THE HIDEAWAY BAR              ","119 EL MIO DR                 ",78216,134642
"HOT SHOT BILLIARDS            ","1255 SW LOOP 410 STE 117      ",78227,277285
"I-10 ICE HOUSE                ","9518 CONSOLE DR               ",78229,358581
"LIMELIGHT                     ","2718 N SAINT MARYS            ",78212,277511
"FRANK MUMME'S THE OTHER WOMAN ","1123 FAIR AVE                 ",78223,349270
"PAT O'BRIEN'S - SAN ANTONIO   ","121 ALAMO PLZ                 ",78205,2773685
"ROMANO'S MACARONI GRILL       ","11745 W INTERSTATE 10 STE 30  ",78230,338770
"CABANA BEVERAGES INC          ","11707 W LOOP 1604 N           ",78254,83806
"FLYING TIGER SPORTS BAR       ","2619 SE MILITARY DR STE 111   ",78224,1287869
SPAGHETTI WAREHOUSE ITALIAN GR,"1226 E HOUSTON ST             ",78205,188503
"TINK-A-TAKO # 3               ","3555 FREDERICKSBURG RD        ",78201,79166
EDDIE'S TACO HOUSE BAR & GRILL,"3755 THOUSAND OAKS DR         ",78247,165661
"LIQUID MONKEY LOUNGE          ","248 LOSOYA ST                 ",78205,334092
"JOE BLUE'S                    ","1420 S ALAMO ST BLDG D        ",78210,174978
"WOODLAKE GOLF CLUB            ","6500 WOODLAKE PKWY            ",78244,11826
"SMITTY'S PUB                  ","4121 GARDENDALE ST            ",78229,412628
BOHANAN'S PRIME STEAK AND SEAF,"219 E HOUSTON ST STE 275      ",78205,2127430
"CRABBY JACKS                  ","16084 SAN PEDRO AVE           ",78232,439179
"ASTRO BOWL SPORTS CENTER LLP  ","3203 HARRY WURZBACH RD        ",78209,262229
"MARTHA'S COCINA Y CANTINA LLC ","818 NE LOOP 410               ",78209,145853
"KIMURA                        ","152 E PECAN ST STE 102        ",78205,31921
"SPY BAR                       ","826 SAN PEDRO AVE             ",78212,150957
"AFTERBURNER                   ","6515 W MILITARY DR            ",78227,268931
"GREENWOOD'S BAR & GRILL       ","301 N NEW BRAUNFELS AVE       ",78202,285957
"CALIFORNIA PIZZA KITCHEN      ","11745 W INTERSTATE 10 STE 41  ",78230,119502
FRESH HORIZONS CREATIVE CATERI,"2020 BROADWAY ST              ",78215,105269
"SANTIKOS PALLADIUM            ","17703 W INTERSTATE 10         ",78257,1459936
"TACO CABANA                   ","6867 NEW HWY 90 WEST          ",78227,151220
"COURTYARD SAN ANTONIO RIVERWA ","207 N SAINT MARYS ST          ",78205,154406
"P F CHANGS CHINA BISTRO       ","15900 LA CANTERA PKWY BLDG 1  ",78256,625285
"BETO'S COMIDA LATINA          ","8142 BROADWAY ST              ",78209,118553
"PICO DE GALLO RESTAURANTE     ","111 S LEONA ST                ",78207,427483
ARAMARK SPORTS AND ENTERTAINME,"100 MONTANA-ALAMO CLUBS       ",78203,121401
"SAN ANTONIO COUNTRY CLUB      ","4100 N NEW BRAUNFELS AVE      ",78209,1095383
"TINK-A-TAKO #10               ","3227 SW MILITARY DR           ",78211,13978
"R SALA  BEBIDA TS 207         ","9710 AIRPORT BLVD             ",78216,329666
"PULSE BAR & NIGHT CLUB        ","523 MED CT STE 105            ",78258,261688
"FREDERICK'S RESTAURANT        ","7701 BROADWAY                 ",78209,210774
"THE PARK SPORTS BAR           ","6565 BABCOCK RD STE 9&10      ",78249,624376
"JW MARRIOTT SAN ANTONIO       ","23808 RESORT PKWY             ",78261,11058375
"JOSEPHINE STREET CAFE         ","400 E JOSEPHINE ST            ",78215,316079
"CHANGO'S HAVANA CLUB          ","23535 IH 10 W # 1101          ",78257,465367
"MICHELINO'S LONE STAR CAFE    ","521 RIVER WALK                ",78205,2645118
RADISSON HOTEL DOWNTOWN MARKET,"502 W DURANGO BLVD            ",78207,262440
"THE GREEN LANTERN             ","20634 STONE OAK PKWY # 120    ",78258,799085
"SUNSET COCKTAIL CLUB          ","2026 AUSTIN HWY               ",78218,302234
"REBECCA CREEK DISTILLERY, LLC ","26605 BULVERDE RD STE B       ",78260,1460
ORIGINAL CADILLAC BAR OF NUEVO,"212 S FLORES ST               ",78204,588767
"HYATT PLACE SAN ANTONIO HOTEL ","7615 JONES MALTSBERGER RD     ",78216,55591
"CLUB SPACE                    ","229 E HOUSTON ST              ",78205,346082
"SILVERHORN GOLF CLUB OF TEXAS ","1100 W BITTERS                ",78216,25161
"ALDACO'S MEXICAN CUISINE      ","20079 STONE OAK PKWY # 300    ",78258,788357
"THE SAINT                     ","800 LEXINGTON AVE             ",78212,436735
"LA BOTANA MEXICAN RESTAURANT  ","7243 SAN PEDRO AVE            ",78216,108532
"MIDNIGHT RODEO                ","12260 NACOGDOCHES RD # 101    ",78217,1662870
"HALCYON STELLA PUBLIC HOUSE   ","1414 S ALAMO ST STE 101       ",78210,662358
"IRON CACTUS                   ","200 RIVER WALK ST STE 100&10  ",78205,1307878
"THE LOCAL BAR                 ","600 N PRESA ST                ",78205,379448
"SHOTS MAIN EVENT, INC.        ","1911 N LOOP 1604 E            ",78232,1070193
SAN ANTONIO AERIE #70 FRATERNA,"2230 HUNT LANE                ",78227,109378
"BRICK HOUSE TAVERN & TAP      ","1011 N LOOP 1604 E            ",78232,412151
"LAFONDA IN OAK HILLS          ","350 NORTHAVEN ST              ",78229,178580
"BANANAS BILLIARDS INC         ","2003 SAN PEDRO AVE            ",78212,366109
"THE DSPOT                     ","6322 SAN PEDRO AVE            ",78216,157316
"THE PALACE MEN'S CLUB         ","2482 NE LOOP 410              ",78217,2481556
"TACO CABANA                   ","4622 RITTIMAN ROAD            ",78218,51689
"EL MIRASOL                    ","13489 BLANCO RD               ",78216,769394
"THOUSAND OAKS BOWL            ","4330 THOUSAND OAKS DR         ",78217,337198
"LAS PALAPAS                   ","11739 BANDERA RD              ",78250,60090
"LEON 1883                     ","8123 BROADWAY ST STE A        ",78209,709778
"MULLIGANS                     ","19314 US HIGHWAY 281 N STE 1  ",78258,92863
"PALMER COURSE AT LA CANTERA   ","17865 BABCOCK RD              ",78255,227843
"LA GLORIA                     ","100 E GRAYSON ST              ",78215,1699941
"CURED                         ","306 PEARL PKWY STE 101        ",78215,15667
"HALF TIME RESTAURANT          ","7126 TEZEL RD STE 107         ",78250,168418
TEXAS LAND & CATTLE STEAK HOUS,"9911 IH 10 W                  ",78230,272599
"PMM, LLC                      ","17776 BLANCO RD               ",78232,985217
"LONGHORN STEAKHOUSE #5381     ","7439 SAN PEDRO AVE            ",78216,372182
"SUSHI ZUSHI                   ","203 S SAINT MARYS STE 170     ",78205,174649
"WING DADDY'S SAUCE HOUSE #6   ","10730 POTRANCO RD STE 129     ",78251,375979
"CANYON SPRINGS GOLF CLUB      ","24405 WILDERNESS OAK          ",78258,346151
"STELLA                        ","1414 S ALAMO ST STE 101       ",78210,662358
"NICE RACK                     ","9518 CONSOLE DR               ",78229,358581
"NICHA'S COMIDA MEXICANA       ","3119 ROOSEVELT AVE            ",78214,288655
"TINK-A-TAKO # 13              ","1662 ENCINO RIO STE 100       ",78259,33151
"LAS PALAPAS CAL-TEX CAFE      ","9700 AIRPORT BLVD TERMINAL 1  ",78216,46404
"HOST SERVICES INC             ","9800 AIRPORT BLVD TERMINAL 1  ",78216,1309542
"SPECTRUM                      ","224 E HOUSTON ST              ",78205,871264
"LEAPIN' LIZARD PUB            ","302 E COMMERCE ST             ",78205,654987
"TYCOON FLATS                  ","2926 N SAINT MARYS ST         ",78212,406446
"ADELAIDE SERVICES, L.L.C.     ","1325 N FLORES ST STE 116      ",78212,62485
"HEAT                          ","1500 N MAIN AVE               ",78212,1443848
"PERICO'S MEXICAN RESTAURANT   ","1439 E SONTERRA BLVD          ",78258,393925
"GLO                           ","8779 WURZBACH RD              ",78240,251573
"THE TEXAN                     ","4518 WEST AVE                 ",78213,6612
"SOUTHTOWN 101                 ","101 PEREIDA ST                ",78210,503849
GENGHIS GRILL THE MONGILIAN ST,"1903 N LOOP 1604 E            ",78232,33411
