Common Name,Scientific Name,Group,State Status,Federal Status
Diminuitie Amphipod,Gammarus hyalleloides,Invertebrates,,Endangered
Pecos Amphipod,Gammarus pecos,Invertebrates,,Endangered
Comal Springs Riffle Beetle,Heterelmis comalensis,Invertebrates,,Endangered
Texas Fatmucket,Lampsilis bracteata,Invertebrates,Threatened,Candidate
Sandbank Pocketbook,Lampsilis satura,Invertebrates,Threatened,
Government Canyon Bat Cave Spider,Tayshaneta microps,Invertebrates,,Endangered
Tooth Cave Spider,Tayshaneta myopica,Invertebrates,,Endangered
American Burying Beetle,Nicrophorus americanus,Invertebrates,,Endangered
Southern Hickorynut,Obovaria jacksoniana,Invertebrates,Threatened,
Louisiana Pigtoe,Pleurobema riddellii,Invertebrates,Threatened,
Texas Hornshell,Popenaias popeii,Invertebrates,Threatened,Candidate
Texas Heelsplitter,Potamilus amphichaenus,Invertebrates,Threatened,
Salina Mucket,Potamilus metnecktayi,Invertebrates,Threatened,
Diamond Y Spring Snail,Pseudotryonia adamantina,Invertebrates,,Endangered
Phantom Cave Snail,Pyrgulopsis texana,Invertebrates,,Endangered
Golden Orb,Quadrula aurea,Invertebrates,Threatened,Candidate
Smooth Pimpleback,Quadrula houstonensis,Invertebrates,Threatened,Candidate
False Spike,Quadrula mitchelli,Invertebrates,Threatened,
Texas Pimpleback,Quadrula petrina,Invertebrates,Threatened,Candidate
A Ground Beetle,Rhadine exilis,Invertebrates,,Endangered
A Ground Beetle,Rhadine infernalis,Invertebrates,,Endangered
Tooth Cave Ground Beetle,Rhadine persephone,Invertebrates,,Endangered
Peck's Cave Amphipod,Stygobromus pecki,Invertebrates,Endangered,Endangered
Comal Springs Dryopid Beetle,Stygoparnus comalensis,Invertebrates,,Endangered
Tooth Cave Pseudoscorpion,Tartarocreagris texana,Invertebrates,,Endangered
Kretschmarr Cave Mold Beetle,Texamaurops reddelli,Invertebrates,,Endangered
Cokendolpher Cave Harvestman,Texella cokendolpheri,Invertebrates,,Endangered
Reddell Harvestman,Texella reddelli,Invertebrates,,Endangered
Bone Cave Harvestman,Texella reyesi,Invertebrates,,Endangered
Mexican Fawnsfoot,Truncilla cognata,Invertebrates,Threatened,
Texas Fawnsfoot,Truncilla macrodon,Invertebrates,Threatened,Candidate
Phantom Spring Snail,Tryonia cheatumi,Invertebrates,,Endangered
Gonzales Springsnail,Tryonia circumstriata,Invertebrates,,Endangered
Finback Whale,Balaenoptera physalus,Mammals,Endangered,Endangered
Gray Wolf,Canis lupus,Mammals,Endangered,Endangered
Red Wolf,Canis rufus,Mammals,Endangered,Endangered
Rafinesque's Big-eared Bat,Corynorhinus rafinesquii,Mammals,Threatened,
Texas Kangaroo Rat,Dipodomys elator,Mammals,Threatened,
Spotted Bat,Euderma maculatum,Mammals,Threatened,
Pygmy Killer Whale,Feresa attenuata,Mammals,Threatened,
Short-finned Pilot Whale,Globicephala macrorhynchus,Mammals,Threatened,
Jaguarundi,Herpailurus yaguarondi,Mammals,Endangered,Endangered
Pygmy Sperm Whale,Kogia breviceps,Mammals,Threatened,
Dwarf Sperm Whale,Kogia simus,Mammals,Threatened,
Southern Yellow Bat,Lasiurus ega,Mammals,Threatened,
Ocelot,Leopardus pardalis,Mammals,Endangered,Endangered
Margay,Leopardus wiedii,Mammals,Threatened,
Mexican Long-nosed,Leptonycteris nivalis,Mammals,Endangered,Endangered
Humpback Whale,Megaptera novaeangliae,Mammals,Endangered,Endangered
Gervais' Beaked Whale,Mesoplodon europaeus,Mammals,Threatened,
White-nosed Coati,Nasua narica,Mammals,Threatened,
Killer Whale,Orcinus orca,Mammals,Threatened,
Coues' Rice Rat,Oryzomys couesi,Mammals,Threatened,
Jaguar,Panthera onca,Mammals,Endangered,Endangered
Palo Duro Mouse,Peromyscus truei comanche,Mammals,Threatened,
False Killer Whale,Pseudorca crassidens,Mammals,Threatened,
Atlantic Spotted Dolphin,Stenella frontalis,Mammals,Threatened,
Rough-toothed Dolphin,Steno bredanensis,Mammals,Threatened,
West Indian Manatee,Trichechus manatus,Mammals,Endangered,Endangered
Black Bear,Ursus americanus,Mammals,Threatened,"Threatened by Similarity of Appearance (eastern);
Not Listed (western)
"
Louisiana Black Bear,Ursus americanus luteolus,Mammals,Threatened,Threatened
Goose-beaked Whale,Ziphius cavirostris,Mammals,Threatened,
Large-fruited Sand-verbena,Abronia macrocarpa,Plants,Endangered,Endangered
South Texas Ambrosia,Ambrosia cheiranthifolia,Plants,Endangered,Endangered
Star Cactus,Astrophytum asterias,Plants,Endangered,Endangered
Texas Ayenia,Ayenia limitaris,Plants,Endangered,Endangered
Texas Poppy-mallow,Callirhoe scabriuscula,Plants,Endangered,Endangered
Bunched Cory Cactus,Coryphantha ramillosassp.ramillosa,Plants,Threatened,Threatened
Terlingua Creek Cat's-eye,Cryptantha crassipes,Plants,Endangered,Endangered
Chisos Mountains Hedgehog Cactus,Echinocereus chisoensisvar.chisoensis,Plants,Threatened,Threatened
Davis' Green Pitaya,Echinocereus davisii,Plants,Endangered,Endangered
Black Lace Cactus,Echinocereus reichenbachiivar.albertii,Plants,Endangered,Endangered
Nellie's Cory Cactus,Escobaria minima,Plants,Endangered,Endangered
Sneed's Pincushion Cactus,Escobaria sneediivar.sneedii,Plants,Endangered,Endangered
Guadalupe Fescue,Festuca ligulata,Plants,,Candidate
Johnston's Frankenia,Frankenia johnstonii,Plants,Endangered,Endangered - Proposed to be Delisted
Earth Fruit,Geocarpon minimum,Plants,Threatened,Threatened
Pecos Sunflower,Helianthus paradoxus,Plants,Threatened,Threatened
Neches River Rose-mallow,Hibiscus dasycalyx,Plants,,Threatened
Slender Rushpea,Hoffmannseggia tenella,Plants,Endangered,Endangered
Texas Prairie Dawn,Hymenoxys texana,Plants,Endangered,Endangered
Texas Golden Gladecress,Leavenworthia texana,Plants,,Endangered
Walker's Manioc,Manihot walkerae,Plants,Endangered,Endangered
Texas Trailing Phlox,Phlox nivalisssp.texensis,Plants,Endangered,Endangered
White Bladderpod,Physaria pallida,Plants,Endangered,Endangered
Zapata Bladderpod,Physaria thamnophila,Plants,Endangered,Endangered
Little Aguja Pondweed,Potamogeton clystocarpus,Plants,Endangered,Endangered
Hinckley's Oak,Quercus hinckleyi,Plants,Threatened,Threatened
Chaffseed,Schwalbea americana,Plants,,Endangered
Tobusch Fishhook Cactus,Sclerocactus brevihamatusssp.tobuschii,Plants,Endangered,Endangered
Lloyd's Mariposa Cactus,Sclerocactus mariposensis,Plants,Threatened,Threatened
Navasota Ladies'-tresses,Spiranthes parksii,Plants,Endangered,Endangered
Bracted Twistflower,Streptanthus bracteatus,Plants,,Candidate
Texas Snowbells,Styrax platanifoliusspp.texanus,Plants,Endangered,Endangered
Ashy Dogweed,Thymophylla tephroleuca,Plants,Endangered,Endangered
Texas Wild-rice,Zizania texana,Plants,Endangered,Endangered
Loggerhead Sea Turtle,Caretta caretta,Reptiles,Threatened,Threatened
Scarlet Snake,Cemophora coccinea,Reptiles,Threatened,
Green Sea Turtle,Chelonia mydas,Reptiles,Threatened,Threatened
Reticulated Gecko,Coleonyx reticulatus,Reptiles,Threatened,
Black-striped Snake,Coniophanes imperialis,Reptiles,Threatened,
Timber (Canebrake) Rattlesnake,Crotalus horridus,Reptiles,Threatened,
Reticulate Collared Lizard,Crotaphytus reticulatus,Reptiles,Threatened,
Leatherback Sea Turtle,Dermochelys coriacea,Reptiles,Endangered,Endangered
Texas Indigo Snake,Drymarchon melanurus erebennus,Reptiles,Threatened,
Speckled Racer,Drymobius margaritiferus,Reptiles,Threatened,
