Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
DONELLA DR,US 281,0.90 MI S OF LP 1604,Prestressed Stringer/Multi-beam or girder,1990,--,129.9,130.9,Functionally Obsolete
SOUTH TURNAROUND,US 281,0.02 MI S OF LP 1604,Prestressed Stringer/Multi-beam or girder,1990,1998,129.9,130.9,Functionally Obsolete
NORTH TURNAROUND,US 281,0.02 MI N OF LP 1604,Prestressed Stringer/Multi-beam or girder,1990,1998,129.9,130.9,Functionally Obsolete
SONTERRA BLVD.,US 281,0.35 MI N OF LP 1604,Prestressed Stringer/Multi-beam or girder (3 spans),1990,--,100.1,450.2,Functionally Obsolete
LP 1604 EBFR,US 281,0.01 MI S OF LP 1604,Prestressed Stringer/Multi-beam or girder,1990,1998,129.9,130.9,Functionally Obsolete
LP 1604 EBML,US 281,US 281/LP 1604,Steel Stringer/Multi-beam or girder (3 spans),1990,--,200.1,480,Functionally Obsolete
LP 1604 WB FR,US 281,7.83 MI S OF COMAL C/L,Prestressed Stringer/Multi-beam or girder,1990,--,129.9,130.9,Functionally Obsolete
MONTGOMERY RD,MARTINEZ CREEK,0.1 MI E OF NEW WORLD,Concrete Culvert (6 spans),1990,--,7.9,51.8,Functionally Obsolete
MECHLER RD,DRAW,2.47 MI S OF US 90,Concrete Culvert (4 spans),1990,--,6.9,30.8,Functionally Obsolete
MECHLER ROAD,SHERER CREEK,0.52 MI S OF US 90,Concrete Culvert (13 spans),1990,--,6.9,100.1,Functionally Obsolete
S FLORES ST,DRAW,0.70 MI N OF ROOSEVELT,Concrete Culvert (6 spans),1990,--,11.2,80.1,Functionally Obsolete
FLOYD CURL DR,ZARZAMORA CREEK,0.2 MI NW OF WURZBACH DR,Concrete Culvert (5 spans),1990,--,6.9,37.1,Functionally Obsolete
N FOSTER RD,DRAW,0.20 MI S OF IH 10,Concrete Culvert (3 spans),1990,--,13.1,40,Functionally Obsolete
NEW GUILBEAU RD,DRAW,0.90 MI SE OF LP 1604,Concrete Culvert (5 spans),1990,--,9.8,54.1,Functionally Obsolete
PRUE RD,DRAW,0.10 MI W OF LP 345,Concrete Culvert (4 spans),1990,2000,9.8,42,Functionally Obsolete
WURZBACH RD,OLMOS CREEK BRANCH,1.8 MI NE OF IH 10,Concrete Culvert (12 spans),1990,--,9.8,147,Functionally Obsolete
WURZBACH RD,OLMOS CREEK,1.25 MI NE OF IH 10,Concrete Culvert (7 spans),1990,--,9.8,74.2,Functionally Obsolete
BOERNE STAGE RD,BALCONES CREEK,6.0 MI W OF IH10,Concrete Culvert (4 spans),1991,--,7.9,37.1,Functionally Obsolete
W COMMERCE ST,SAN PEDRO CREEK,0.1 MI E OF N LAREDO ST,Prestressed Box beam or girders - Multiple,1991,--,32.2,34.1,Functionally Obsolete
HAUSMAN RD,LEON CREEK,1.5 MI WEST OF IH 10,Prestressed Box beam or girders - Multiple (8 spans),1991,--,55.1,440,Functionally Obsolete
HUNT LN,DRAW,0.2 MI N OF SH 151,Concrete Culvert (5 spans),1991,--,9.8,56.1,Functionally Obsolete
HUNT LN,DRAW,0.2 MI N OF SH 151,Concrete Culvert (17 spans),1991,--,9.8,256.9,Functionally Obsolete
LA CANTERA PKWY EB,FIESTA TEXAS DR,0.2 MI WEST OF IH 10,Prestressed Stringer/Multi-beam or girder,1991,--,84,84,Functionally Obsolete
LA CANTERA PKWY WB,FIESTA TEXAS DR,0.2 MI WEST OF IH 10,Prestressed Stringer/Multi-beam or girder,1991,--,87.9,87.9,Functionally Obsolete
IH 35 NB,IH 10 WB,DOWNTOWN Y,Steel Stringer/Multi-beam or girder (16 spans),1991,--,86.9,1377,Functionally Obsolete
IH 10 WBFR,LEON CREEK,0.65 MI N OF LP 1604,Prestressed Stringer/Multi-beam or girder (3 spans),1992,--,100.1,250,Functionally Obsolete
PECAN VALLEY DR,DRAW-,0.01 MI S OF ROLAND AVE,Concrete Culvert (3 spans),1992,--,7.9,30.8,Functionally Obsolete
HUEBNER RD,DRAW,0.4 MI S OF LP 1604,Concrete Culvert (5 spans),1993,--,9.8,62,Functionally Obsolete
IH 35 SB ELEV ML,CAMDEN ST TO N ST MARYS,0.20 MI W OF IH 37,Prestressed Segmental box girder (14 spans),1993,--,106,1345.2,Functionally Obsolete
IH 35 SB ELEV ML,SAN PEDRO TO BROOKLYN AV,DOWNTOWN Y,Prestressed Segmental box girder (39 spans),1993,--,115.2,4610.1,Functionally Obsolete
