Item,Category,Price,Quantity Sold,Total Amount
HERSHEY W/ALMONDS,CANDY,$1.39 ,"2,030","$2,821.70 "
FRESH SCENT SOAP,HEALTH & BEAUTY,$1.49 ,"1,866","$2,780.34 "
OATMEAL PIE SINGLE,COOK&PSTRIES NON TAX,$1.06 ,"2,583","$2,737.98 "
9 X 12 ENVELOPE,GENERAL MERCHANDISE,$0.49 ,"5,388","$2,640.12 "
SHORTY TOOTHBRUSH,HEALTH & BEAUTY,$0.86 ,"2,835","$2,438.10 "
COUGH DROP,HEALTH & BTY NON TAX,$1.96 ,"1,235","$2,420.60 "
CROC SZ 8 BLK,CLOTHING,$12.99 ,186,"$2,416.14 "
WAVY LAYS RSTD GRLC/SEA SALT,CHIPS&SNCKS NON TAX,$1.19 ,"2,012","$2,394.28 "
TRAIL MIX,CHIPS&SNCKS NON TAX,$1.19 ,"2,000","$2,380.00 "
CROC SZ 12 BLK,CLOTHING,$12.99 ,180,"$2,338.20 "
CARD-BIRTHDAY,GENERAL MERCHANDISE,$1.86 ,"1,252","$2,328.72 "
CHOC MINI DONUT,COOK&PSTRIES NON TAX,$1.29 ,"1,713","$2,209.77 "
RUFFLES SWEET & SMOKIN BBQ,CHIPS&SNCKS NON TAX,$1.19 ,"1,697","$2,019.43 "
BALSAM CONDITIONER,HEALTH & BEAUTY,$3.12 ,645,"$2,012.40 "
GO CART SPECIAL,COOK&PSTRIES NON TAX,$5.99 ,318,"$1,904.82 "
GRANDMA CHOC CHIP COOKIE,COOK&PSTRIES NON TAX,$1.29 ,"1,457","$1,879.53 "
STYLING GEL,HEALTH & BEAUTY,$3.09 ,594,"$1,835.46 "
COMB,HEALTH & BEAUTY,$0.66 ,"2,621","$1,729.86 "
GRAPE JELLY SQUEEZER,FOOD NON TAX,$0.86 ,"2,009","$1,727.74 "
RAISINS POUCH,FOOD NON TAX,$5.39 ,318,"$1,714.02 "
HOT DILL PICKLE,FOOD NON TAX,$1.69 ,980,"$1,656.20 "
SPANISH RICE,FOOD NON TAX,$1.66 ,990,"$1,643.40 "
COOKIE-OATMEAL RAISIN BAG,COOK&PSTRIES NON TAX,$3.29 ,493,"$1,621.97 "
ERASER CAP,GENERAL MERCHANDISE,$0.49 ,"3,086","$1,512.14 "
