Name,Address,Zip,Amount
THE ESQIRE TAVERN,155 E COMMERCE ST,78205,1916469
"PMM, LLC                                          ",17776 BLANCO RD,78232,691368
RED LOBSTER #6363,7835 INTERSTATE 35 S,78224,169619
THE SOCIAL HOUSE,19160 STONE OAK PKWY STE 104,78258,900673
DOUBLETREE SAN ANTONIO,37 NE LOOP 410,78216,313124
CLUB CARIBE,10319 PERRIN BEITEL RD,78217,39468
CHILI'S GRILL & BAR,12503 W INTERSTATE 10,78230,425436
OUTBACK STEAKHOUSE,5552 NW LOOP 410,78238,289573
GOLF CLUB OF TEXAS,13600 BRIGGS RNCH,78245,0
FUND-RAISER,418 VILLITA,78217,6208
THE ARGYLE,934 PATTERSON AVE,78209,1144308
FAST EDDIES,9910 W LOOP 1604 N,78254,1261173
SLICK WILLIE'S FAMILY POOL HALL,6436 NW LOOP 410,78238,348193
THOUSAND OAKS CAFE,12930 JONES MALTSBERGER RD STE 103,78247,42098
SUSTENIO,17103 LA CANTERA PKWY,78256,1164257
FREDERICK'S RESTAURANT,7701 BROADWAY,78209,229475
OLIVE GARDEN ITALIAN RESTAURANT #1631,15814 IH 10 W,78257,346397
BUFFALO WILD WINGS,3158 SE MILITARY DR BLDG 5,78235,725597
GENGHS GRILL - THE MONGOLIAN STIR FRY,8214 AGORA PKWY STE 100,78154,57458
NIGHTROCKER,605 SAN PEDRO AVE,78212,0
THE OLIVE GARDEN ITALIAN RESTAURANT #1862,22503 US HIGHWAY 281 N,78258,181893
HOSPITALITY INTERNATIONAL INC,101 BOWIE ST,78205,2653169
RED LOBSTER RESTAURANT #137,8210 I-H 35 NORTH,78239,283581
MARTINI CLUB,8507 N MCCULLOUGH A-9,78216,344447
GRAND AGAVE AND OSHI SUSHI,18326 TUSCANY STONE,78258,917956
MINNIES TAVERN,328 E JOSEPHINE ST,78215,116906
"BCL ABC, LLC                                      ",300 E TRAVIS ST,78205,432073
CHILI'S GRILL & BAR,849 E COMMERCE ST STE 109,78205,342124
HURRICANE GRILL & WINGS,2611 SE MILITARY DR STE 108,78223,393181
BUFFALO WILD WINGS,18410 US HIGHWAY 281 N,78258,618347
THE BROOKLYNIT,516 BROOKLYN AVE,78215,636918
RED LOBSTER OF TEXAS INC #6240,17415 HWY 281 NORTH,78232,217089
CHILI'S GRILL & BAR,4983 NW LOOP 410,78229,406013
FLYNN'S,8123 BROADWAY ST STE A,78209,60618
SANCHO'S CANTINA,628 JACKSON ST,78212,44776
HOST /TRUE FLAVORS SAT TERMINAL A FB LLC,9800 AIRPORT BLVD,78216,218209
BOMBAY RANCH,8811 FREDERICKSBURG RD,78240,631178
FIREHOUSE PUB & GRILL,5380 WALZEM RD,78218,701520
LOGAN'S ROADHOUSE,12477 IH 10 W,78230,199531
TOBIN CENTER - CULINAIRE,115 AUDITORIUM CIR,78205,519427
FLYING TIGER SPORTS BAR,2619 SE MILITARY DR STE 111,78223,963329
CABANA BEVERAGES,5738 W LOOP 1604 N,78251,74925
STONE STREET PUB,16535 HUEBNER RD STE 105,78248,881383
BEAT STREET BISTRO,2512 N MAIN AVE,78212,12613
THE 151 SALOON,10619 WESTOVER HILLS BLVD,78251,765274
WING DADDY'S SAUCE HOUSE,2120 JACKSON KELLER RD,78213,0
LA GLORIA,100 E GRAYSON ST,78215,1810452
ARSA ENTERPRISES LLC,19141 STONE OAK PKWY STE 108,78258,0
UMAI MI,555 W BITTERS RD,78216,211356
COCO BEACH,12159 VALLIANT ST,78216,453831
FAST EDDIE'S NEIGHBORHOOD BILLIARDS & SALOON,502 EMBASSY OAKS,78216,706224
ALIBIS' SPORTS AND SPIRITS,1141 E COMMERCE ST,78205,351759
RIALTO CINEMA BISTRO,2938 NE LOOP 410,78218,311367
THE MIX,2423 N SAINT MARYS ST,78212,449531
SOUTHTOWN 101,101 PEREIDA ST,78210,518183
DEOL BAR AND GRILL,6851 N LOOP 1604 W STE 101,78249,420590
"UBAR NONE, LLC                                    ",502 EMBASSY OAKS,78216,552945
BUFFALO WINGS AND RINGS,203 N LOOP 1604 W STE 100,78232,345367
THE ORIGINAL MEXICAN RESTAURANT,415 E COMMERCE ST,78205,1388892
LISAS MEXICAN RESTAURANT,815 BANDERA RD,78228,269832
BOHANANS RESTAURANT AND BAR,221 E HOUSTON ST,78205,813875
BASEMENT BAR & LOUNGE,244 LOSOYA B,78205,631209
54TH STREET,17122 W INTERSTATE 10,78257,745503
PAESANO'S RIVERWALK,111 W CROCKETTSTE 101,78205,1282243
HYATT PLACE SAN ANTONIO HOTEL,7615 JONES MALTSBERGER RD,78216,58420
CHARLIE WANTS A BURGERS,511 RIVER WALK ST,78205,485888
EL 7 MARES SEA FOOD RESTAURANT,3831 W COMMERCE ST,78207,211393
"CABANA BEVERAGES, INC.                            ",1255 LOOP 410 NORTHEAST,78209,70483
ALAMO CAFE,14250 N US HIGHWAY 281,78232,685783
"CABANA BEVERAGES, INC.                            ",4723 W COMMERCE STREET,78237,115909
NORRIS CONFERENCE CENTERS BALCONES HEIGHTS,4522 FREDERICKSBURG RD # A100,78201,48927
MENGER HOTEL,204 ALAMO PLZ,78205,913585
HABANERO GRILL #2,17711 I 10 W,78257,14450
CLUB GRAND,1305 SW LOOP 410 STE 100,78227,54977
PAGE BARTEAU CATERING,2332 N SAINT MARYS ST,78212,59527
BREW BROTHERS,7403 LESLIE RD STE 214-216,78254,0
CLUB RIVE,245 E COMMERCE ST # 250,78205,0
BONNIE JEAN'S COCKTAILS,5118 AND 5120 FREDERICKSBURG RD,78229,308864
CHAMA GAUCHA BRAZILIAN STEAKHOUSE,18318 SONTERRA PL,78258,1570939
